STATISTIC Label,Year,Component,UNIT,VALUE
Annual Population Change,2008,Population change,Thousand,109.2
Annual Population Change,2009,Population change,Thousand,48.3
Annual Population Change,2010,Population change,Thousand,21.4
Annual Population Change,2011,Population change,Thousand,20.1
Annual Population Change,2012,Population change,Thousand,18.8
Annual Population Change,2013,Population change,Thousand,21.0
Annual Population Change,2014,Population change,Thousand,30.8
Annual Population Change,2015,Population change,Thousand,42.3
Annual Population Change,2016,Population change,Thousand,51.8
Annual Population Change,2017,Population change,Thousand,71.3
Annual Population Change,2018,Population change,Thousand,74.0
Annual Population Change,2019,Population change,Thousand,73.6
Annual Population Change,2020,Population change,Thousand,71.4
Annual Population Change,2021,Population change,Thousand,44.8
Annual Population Change,2022,Population change,Thousand,77.8
Annual Population Change,2023,Population change,Thousand,97.6
